id,repo,surface,feature,user_story,expected_behavior,source_evidence,status,test_plan,test_status,error_log,fix_status,retest_status,notes
SQL-011,rvbbit-sql,observability,Cost ledger and policies,"As an operator owner, I want cost events reconciled from receipts with configurable policies so spend can be audited by model, backend, and operator.","Cost policy functions accept rates/coverage settings, queues flush receipts, OpenRouter settlement can reconcile pending events, and audit summary surfaces gaps.",docs/COSTS_AND_RECEIPTS.md:14; docs/COSTS_AND_RECEIPTS.md:76; crates/pg_rvbbit/src/costs.rs:90,tested_pass,"Backfill cost events from deterministic receipts, flush a queued receipt, reconcile OpenRouter pending events, and query cost audit summary/rollups.",runtime_smoke_pass,"Synthetic receipt codex_sql011_audit_smoke started with audit_status missing_cost_events, chargeable_sub_calls 3, cost_event_sub_calls 0, and one cost_audit_gaps row. rvbbit.backfill_cost_events_from_receipts produced policy-backed rows: mcp fixed estimated policy_fixed $0.002500000, specialist free policy_free $0, and llm model-rate estimated policy_model_rate $0.010000000; receipt_cost_audit became ok with total_cost_usd $0.012500000, and query_costs/receipt_costs matched 3 calls with 2 estimated and no pending/uncosted/errors. Synthetic queue file codex_sql011_queue_smoke showed receipt_queue_pending 1, flush_receipt_queue(1000) 1, pending 0, receipt output queued-ok, and free policy cost row. docker bench pytest /tests/test_cost_reconcile.py -q passed: 3 passed. docker bench pytest /tests/test_llm_providers.py::test_openai_compatible_local_chat_provider /tests/test_llm_providers.py::test_self_hosted_model_rate_cost_policy -q passed: 2 passed.",not_needed,passed,No product changes needed. Backfill smoke also repaired pre-existing historical receipt gaps in the running test DB because the UDF backfills any eligible newest receipts up to the limit.
SQL-012,rvbbit-sql,providers,Provider catalogs and diagnostics,"As an operator admin, I want provider/model metadata, rates, and health probes so model routing and cost estimates are explainable.","Provider catalog functions store model metadata/rates, provider_doctor probes configured providers, and default-provider routing can be tested without mutating operators.",docs/PROVIDER_CATALOGS.md; docs/DIAGNOSTICS.md; docs/ACCEPTANCE_HARNESS.md:31,tested_pass,"Register a temporary self-hosted OpenAI-compatible backend, run provider doctor, call a test operator, inspect cost receipt, and verify catalog/rate metadata.",runtime_smoke_pass,"docker bench pytest /tests/test_llm_providers.py::test_openai_compatible_local_chat_provider /tests/test_telemetry.py::test_provider_doctor_flags_missing_auth_env /tests/test_telemetry.py::test_provider_doctor_live_probes_stub_backend -q passed: 3 passed. Manual SQL smoke registered stub chat backend codex_sql012_stub_provider and self-hosted provider codex_sql012_local with model codex/sql012-stub-model. provider_model_catalog returned display name Codex SQL-012 Stub Model, capabilities [chat], context_window 8192, output_token_limit 512, standard rate card input/output 1.25/2.50, and rate_confidence manual; provider_catalog_summary included the provider with ok status and model/rate counts. provider_doctor(true) returned ok with probe_ok true and transport stub. set_default_provider routed a single-LLM operator with no provider override through codex_sql012_stub_provider; receipt sub_call recorded kind llm, backend codex_sql012_stub_provider, transport stub, model codex/sql012-stub-model, and output Default provider saw catalog routing. Backfilled cost row was status free, cost_source policy_free, cost_usd 0.",not_needed,passed,"No product changes needed. Manual smoke cleaned up backend, provider catalog rows, model rate card, cost policy, operator, receipt, cost row, and restored default_provider to openrouter."
SQL-013,rvbbit-sql,embeddings,Embeddings and similarity,"As a SQL user, I want text embedding and similarity functions so I can rank semantic closeness directly in Postgres.",rvbbit.embed returns vector data through the configured embedder; similarity computes comparable scores and records cache behavior where applicable.,docs/EMBEDDINGS.md:10; docs/EMBEDDINGS.md:62; crates/pg_rvbbit/src/embeddings.rs:290; crates/pg_rvbbit/src/embeddings.rs:405; tests/test_embeddings.py,tested_pass,"Register stub embedder, call embed and similarity, verify deterministic output, materialization, KNN ordering, and cache rows.",runtime_smoke_pass,"docker bench pytest /tests/test_embeddings.py -q passed: 19 passed. Manual SQL smoke registered codex_sql013_stub_embed as stub://16, confirmed rvbbit.embed returned dim 16, same text produced the same vector, similarity(refund request, refund request) was 1.000000, similarity(refund request, billing dispute) was 0.023991, and similarity plus embed_distance complemented to 1. Cache stats showed 2 entries after scalar calls. materialize_embeddings over a temp table with 2 distinct non-null bodies produced 2 on first run and 0 on second. knn_text for query doc alpha exact returned doc alpha exact first with score 1.000000. Final cache stats showed 4 entries and embedding_purge removed 4.",not_needed,passed,No product changes needed. Replaced stale source_evidence path content/docs/sql-reference.md with actual docs and embeddings.rs evidence in this repo.
SQL-014,rvbbit-sql,retrieval,KNN text search,"As an analyst, I want KNN search over a table text column so I can retrieve relevant rows without exporting data.","rvbbit.knn_text accepts a regclass, column, query, and k; it uses the configured embedding cache/index and returns ranked rows.",docs/EMBEDDINGS.md:58; docs/EMBEDDINGS.md:67; crates/pg_rvbbit/src/embeddings.rs:616; tests/test_embeddings.py,tested_pass,"Create sample docs table, prewarm/materialize embeddings, call knn_text, verify top-k order, distinct-value behavior, and k bounds.",runtime_smoke_pass,"docker bench pytest focused KNN subset passed: 5 passed. Manual SQL smoke registered codex_sql014_knn_embed as stub://8 and used a plain temp table with 5 rows and one duplicate value. materialize_embeddings produced 4 distinct embeddings. rvbbit.knn_text(..., k=3) returned 3 rows and 3 distinct values; exact query value the cat sat on the mat ranked first with score 1.000000, followed by another distinct sentence and yet another sentence. k=0 returned 0 rows. embedding_cache_stats showed 4 entries at dim 8, and embedding_purge removed 4.",not_needed,passed,No product changes needed. Replaced stale source_evidence path content/docs/sql-reference.md with actual docs and embeddings.rs evidence in this repo.
SQL-015,rvbbit-sql,retrieval,Topic clustering and semantic set functions,"As an analyst, I want topics, outliers, dedupe, diff, semantic_case, extract, and text_evidence helpers for common semantic analysis patterns.",The built-in semantic functions operate from SQL over query text or row text and return structured rows/scores/evidence without custom orchestration.,docs/EMBEDDINGS.md:277; docs/EMBEDDINGS.md:308; crates/pg_rvbbit/src/cluster.rs:41; crates/pg_rvbbit/src/composites.rs:171; crates/pg_rvbbit/src/evidence.rs:26; tests/test_topics.py; tests/test_composites.py; tests/test_text_evidence.py,tested_pass,Run each semantic helper on a small deterministic fixture with stub/specialist backends where possible.,runtime_smoke_pass,"docker bench pytest /tests/test_topics.py /tests/test_composites.py /tests/test_text_evidence.py /tests/test_op_bundle.py::test_extract_template_references_args -q passed: 37 passed. Manual SQL smoke registered codex_sql015_embed as stub://12 and used temp tables. topics returned 3 clusters covering 7 rows with cluster ids 0..2. outliers returned 3 rows with scores. dedupe_groups found representative angry customer wants refund with size 3. diff returned novelty 0 for shared text shipping was slow. semantic_case exact match returned product. text_evidence returned Angry customer wants a refund immediately. extract catalog contract was scalar text with arg_names {text,what} and prompt references for both text and what. embedding_cache_stats showed 9 entries at dim 12 and purge removed 9.",not_needed,passed,No product changes needed. Replaced stale source_evidence path content/docs/sql-reference.md with actual docs and Rust/test evidence. extract was verified as seeded semantic operator contract without live model invocation.
SQL-016,rvbbit-sql,pipeline,THEN resultset pipelines,"As a SQL user, I want to chain whole-resultset operations after a query using THEN syntax so rowset transforms stay in SQL.","rvbbit.flow parses top-level THEN stages, runs each stage on prior rows, persists step metadata, and ignores THEN inside strings/comments/CASE/dollar quotes.",docs/OPERATORS.md:929; docs/PIPELINE_CASCADES_PLAN.md:39; crates/pg_rvbbit/src/pipeline.rs:478; crates/pg_rvbbit/sql/pipeline.sql; tests/test_builtin_flow_operators.py,tested_pass,"Run flow with pass, limit, count, sample, synth/reshape cached paths; verify parser edge cases from tests.",runtime_fix_pass,cargo test split_tests initially failed because prewarm.rs test OpDef initializer was missing cache_policy after struct shape drift.,fixed_test_build,passed,"cargo split_tests passed after helper fix; SQL smoke verified limit/count/sample, CASE/string THEN parsing, cached synth pivot generated_sql, flow_steps metadata, and pytest flow-operator coverage."
SQL-017,rvbbit-sql,text-to-SQL,Synth SQL generation and guarded execution,"As a user, I want natural-language intent turned into grounded read-only SELECT SQL, optionally executed with row caps and timeouts.","synth functions use schema context, cache generated SQL by shape/intent, reject writes for execute paths, and return typed results when shape is declared.",docs/PIPELINE_CASCADES_PLAN.md:84; crates/pg_rvbbit/src/synth.rs:564; crates/pg_rvbbit/sql/pipeline.sql:218; crates/pg_rvbbit/src/pipeline.rs:904,tested_pass,Use cached synth SQL path to avoid live LLM; verify read-only guard rejects writes and run cap is enforced.,runtime_fix_pass,First cargo synth_ pgrx run failed fresh CREATE EXTENSION because SQL-008 operator-update trigger called rvbbit.flush_cache before the generated SQL had registered that pgrx function.,fixed_install_order_guard,passed,"Deterministic live SQL smoke used a stub default provider and temporary query-synth operator returning fixed JSON SQL. Verified synth_sql output/cache, synth_schema region text+n bigint, synth_coldef, _synth_validate rejecting write CTEs, _synth_execute row cap and write blocking, disabled synth returning 0 rows, enabled synth returning jsonb rows, typed synth_record rows, receipt backend=stub, and cleanup. cargo test --manifest-path crates/pg_rvbbit/Cargo.toml synth_ --lib -- --test-threads=1 passed: 12 passed with known warnings."
SQL-018,rvbbit-sql,MCP,MCP server registry and discovery,"As an operator author, I want to register an MCP server and discover its tools/resources so I can call tools from SQL and operators.","register_mcp_server upserts server config, refresh_mcp_server discovers tools/resources, and mcp_health reflects passive status/probe results.",docs/MCP.md:126; docs/MCP.md:179; docs/MCP.md:278; docs/MCP.md:318; crates/pg_rvbbit/src/mcp/mod.rs:201; tests/test_mcp.py:59,tested_pass,"Register deterministic MCP test server, refresh, query tools/resources/health.",runtime_fix_pass,"Initial focused pytest found stale test expectations: mcp_health tests hard-coded 5 tools, but the deterministic MCP server now exposes 6 tools after the getenv tool was added.",fixed_test_expectation,passed,"Updated health tests to compare mcp_health counts to discovered mcp_tools/mcp_resources counts. Retest docker bench pytest focused SQL-018 MCP subset passed: 7 passed. Manual smoke registered codex_sql018_probe server, refresh_mcp_server returned 6, tools were add/echo/failing/getenv/list_items/search, resources were rvbbit-test://config and rvbbit-test://hello, and mcp_health showed stdio with 6 tools and 2 resources; cleanup dropped the server."
SQL-019,rvbbit-sql,MCP,"MCP calls, rows, resources, and text extraction","As a SQL user, I want to call MCP tools and resources as scalar JSON, set-returning rows, or extracted text so tool output composes with SQL.","mcp_call returns an envelope, mcp_rows expands list-like results, mcp_resource reads resources, mcp_text/resource_text extract text blocks, and invocations are audited.",docs/MCP.md:571; docs/MCP.md:588; docs/MCP.md:673; crates/pg_rvbbit/src/mcp/mod.rs:231; tests/test_mcp.py:112,tested_pass,"Call deterministic tool through mcp_call and mcp_rows, read a resource, inspect invocation rows and error behavior.",runtime_smoke_pass,,not_needed,passed,"Focused docker bench pytest SQL-019 MCP subset passed: 11 passed. Manual smoke registered codex_sql019 server, refresh returned 6 tools, mcp_call echo returned hello sql019 with isError false, mcp_text(add 7+8) returned 15, failing returned isError true, mcp_rows search returned codex-a/codex-b/codex-c, mcp_rows echo returned rowtext, mcp_resource_text config returned key=value and count=42, and mcp_invocations recorded echo/add/failing/search/echo with query_id match and failing error flag; cleanup dropped the server."
SQL-020,rvbbit-sql,MCP,MCP caching and wrappers,"As an admin, I want opt-in MCP tool caching and typed wrappers so common tools are fast and ergonomic.","set_mcp_tool_caching controls TTL, purge_mcp_cache clears entries, generate_mcp_wrappers creates typed SQL wrappers, and refresh preserves caching flags.",docs/MCP.md:362; docs/MCP.md:877; docs/MCP.md:935; docs/MCP.md:986; crates/pg_rvbbit/src/mcp/mod.rs:640; tests/test_mcp.py:465,tested_pass,"Enable caching on deterministic tool, call twice, purge cache, generate wrappers, call generated wrapper.",runtime_fix_pass,Wrapper test had the same stale 5-tool count as SQL-018 after the deterministic MCP server added getenv.,fixed_test_expectation,passed,"Updated wrapper test to compare generate_mcp_wrappers count to discovered mcp_tools count and include getenv in expected wrapper functions. Focused docker bench pytest SQL-020 subset passed: 12 passed. Manual smoke registered codex_sql020 server, set echo caching ttl 300, observed cache hit sequence false/true/false for same/different args, cache held 2 clean rows before purge, refresh preserved policy true/300, generated 6 wrappers add/echo/failing/getenv/list_items/search, wrapper echo returned wrapped, wrapper add returned 13, wrapper list_items returned item0/item1/item2, purge removed 2 rows, and cleanup dropped wrapper schema/server."
SQL-021,rvbbit-sql,knowledge graph,"KG nodes, edges, aliases, and traversal","As a user, I want to assert semantic entities and relationships and query neighbors/context from SQL.","kg_assert_node/edge normalize labels, preserve stable IDs, support aliases, and kg_context/kg_neighbors return traversable graph rows.",docs/KNOWLEDGE_GRAPH.md:11; docs/KNOWLEDGE_GRAPH.md:51; crates/pg_rvbbit/src/kg.rs:304; crates/pg_rvbbit/src/kg.rs:448; crates/pg_rvbbit/src/kg.rs:592; tests/test_knowledge_graph.py,tested_pass,"Assert nodes/edges/aliases, fetch neighbors and context, verify normalization and stable IDs.",runtime_smoke_pass,,not_needed,passed,"Focused docker bench pytest KG subset passed: 6 passed covering catalog tables, graph isolation, idempotent/normalized nodes, alias resolution, edge evidence/neighbors, and kg_context. Manual smoke used graph codex_sql021_graph, asserted Acme twice and got same node id, alias ACME resolved by alias, node label_norm acme corp confidence 0.91 with merged tier/region properties, edge reported late shipment had evidence text/source with matching query_id, kg_neighbors returned reported -> late shipment confidence 0.91 channel support, and kg_context returned rank 1 depth 1 with that edge; cleanup deleted graph nodes."
SQL-022,rvbbit-sql,knowledge graph,Triple ingestion and evidence,"As an analyst, I want to ingest extracted triples with evidence so graph facts can be traced back to source rows and query IDs.","kg_ingest_triples writes nodes, edges, evidence, confidence/provenance, and query_id links; evidence queries return source text and row context.",docs/KNOWLEDGE_GRAPH.md:301; docs/KNOWLEDGE_GRAPH.md:376; crates/pg_rvbbit/src/triples.rs:116; crates/pg_rvbbit/src/triples.rs:225; tests/test_triples.py,tested_pass,"Ingest deterministic triples JSON, query graph/evidence rows, open source context by key.",runtime_smoke_pass,,not_needed,passed,"Focused docker bench pytest triples/KG evidence subset passed: 5 passed. Manual smoke shaped deterministic JSON through triples_json_rows, ignored a blank-object triple, kg_ingest_triples inserted 1 fact into graph codex_sql022_graph, edge Acme Corp reported late shipment carried confidence 0.84 and properties extractor=codex_sql022 severity=medium, kg_evidence preserved source_pk 42 source_column body evidence text and matching query_id, kg_context returned reported -> late shipment with evidence_count 1, and cleanup deleted graph nodes."
SQL-023,rvbbit-sql,knowledge graph,KG merge review and Lance resolution,"As a graph curator, I want duplicate entity candidates and accelerated label resolution so the graph can be cleaned without losing provenance.",Merge candidate functions suggest/accept/reject duplicates by kind; Lance-backed resolution can accelerate node label search where enabled.,docs/KNOWLEDGE_GRAPH.md:199; docs/KNOWLEDGE_GRAPH.md:247; crates/pg_rvbbit/src/kg.rs:696; crates/pg_rvbbit/src/lance.rs:296; tests/test_knowledge_graph.py:196,tested_pass,"Create near-duplicate nodes, generate candidates, accept/reject, optionally enable Lance and resolve labels.",runtime_smoke_pass,,not_needed,passed,"Focused docker bench pytest KG merge/Lance subset passed: 3 passed. Manual smoke registered stub embedder, enabled Lance for 2 org nodes with status ready, kg_resolve_node returned OpenAI Incorporated via match_method lance, suggested Acme duplicate candidate score 0.86 pending, accepted merge into winner, loser node count became 0, alias Acme Co resolved to winner, candidate status became accepted with merge_id, merged edge preserved loser_edge property and evidence count 1; cleanup removed KG rows/index/backend."
SQL-024,rvbbit-sql,storage,USING rvbbit table DML and source-of-truth contract,"As a Postgres user, I want rvbbit tables to behave like normal tables for inserts, updates, deletes, and selects while accelerators remain derived.","CREATE TABLE USING rvbbit succeeds; DML updates the authoritative heap/source state; acceleration staleness affects speed, not correctness.",README.md:91; docs/ACCEPTANCE_HARNESS.md:102; tests/test_rvbbit_am.py; tests/test_acceleration_tombstone_overlay.py; tests/test_acceleration_production_edges.py; tests/test_acceleration_auto_consolidation.py,tested_pass,"Create rvbbit table, insert/update/delete/select, compare counts before and after compaction/refresh.",runtime_smoke_pass,,not_needed,passed,"Focused docker bench pytest storage subset passed: 8 passed covering table AM registration, heap exclusion, drop cleanup, insert/select, PK update/delete overlay refresh, rollback cleanup, and tombstone-pressure rebuild. Manual smoke created codex_sql024 table USING rvbbit, inserted 3 rows, refreshed acceleration to 1 row group, updated id 2, deleted id 3, inserted id 4, verified routed reads matched force_heap_scan reads as count 3 sum 75 rows 1/2_v2/4, observed dirty flags insert/update/delete and 2 tombstones, delta refresh cleared dirty flags while preserving correctness, rebuild wrote 3 rows into 1 row group and cleared tombstones; cleanup dropped the table."
